time_s,i_alpha,id,iq,duty,use_park
0.013800,0.974827,0.228490,-1.667276,0.248590,0
0.013850,0.974887,0.176014,-1.673729,0.240846,0
0.013900,0.974946,0.123360,-1.678532,0.232884,0
0.013950,0.975006,0.070580,-1.681682,0.224713,0
0.014000,0.975065,0.017725,-1.683175,0.216340,0
0.014050,0.975124,-0.035152,-1.683010,0.207774,0
0.014100,0.975183,-0.087999,-1.681186,0.199022,0
0.014150,0.975242,-0.140765,-1.677704,0.190095,0
0.014200,0.975301,-0.193398,-1.672569,0.181000,0
0.014250,0.975360,-0.245846,-1.665786,0.171747,0
0.014300,0.975418,-0.298057,-1.657359,0.162344,0
0.014350,0.975476,-0.349981,-1.647299,0.152801,0
0.014400,0.975535,-0.401566,-1.635614,0.143128,0
0.014450,0.975593,-0.452762,-1.622315,0.133333,0
0.014500,0.975651,-0.503518,-1.607416,0.123427,0
0.014550,0.975708,-0.553784,-1.590931,0.113419,0
0.014600,0.975766,-0.603511,-1.572876,0.103320,0
0.014650,0.975824,-0.652649,-1.553268,0.093139,0
0.014700,0.975881,-0.701151,-1.532126,0.082886,0
0.014750,0.975938,-0.748969,-1.509472,0.072571,0
0.014800,0.975995,-0.796055,-1.485327,0.062205,0
0.014850,0.976052,-0.842363,-1.459714,0.051798,0
0.014900,0.976109,-0.887847,-1.432659,0.041359,0
0.014950,0.976166,-0.932463,-1.404188,0.030900,0
0.015000,0.976223,-0.976166,-1.374328,0.020431,0
0.015050,0.976279,-1.018913,-1.343110,0.009962,0
0.015100,0.976335,-1.060663,-1.310563,-0.000497,0
0.015150,0.976391,-1.101373,-1.276719,-0.010935,0
0.015200,0.976448,-1.141004,-1.241611,-0.021343,0
0.015250,0.976503,-1.179516,-1.205275,-0.031709,0
0.015300,0.976559,-1.216871,-1.167744,-0.042024,0
0.015350,0.976615,-1.253032,-1.129056,-0.052277,0
0.015400,0.976670,-1.287964,-1.089250,-0.062458,0
0.015450,0.976726,-1.321631,-1.048363,-0.072557,0
0.015500,0.976781,-1.354001,-1.006436,-0.082565,0
0.015550,0.976836,-1.385041,-0.963510,-0.092471,0
