time_s,reference_a,current_a,u_i,u1_true,u1_meas,duty,feedforward,control_dt
0.011150,0.224000,0.188536,0.131472,5.290495,5.290495,0.225915,1,0.000050
0.011200,0.225000,0.189478,0.131953,5.476377,5.476377,0.233680,1,0.000050
0.011250,0.226000,0.190420,0.132434,5.656854,5.656854,0.241220,1,0.000050
0.011300,0.227000,0.191363,0.132915,5.831749,5.831749,0.248528,1,0.000050
0.011350,0.228000,0.192306,0.133396,6.000889,6.000889,0.255595,1,0.000050
0.011400,0.229000,0.193249,0.133877,6.164106,6.164106,0.262416,1,0.000050
0.011450,0.230000,0.194192,0.134359,6.321240,6.321240,0.268983,1,0.000050
0.011500,0.231000,0.195136,0.134840,6.472136,6.472136,0.275291,1,0.000050
0.011550,0.232000,0.196080,0.135321,6.616645,6.616645,0.281332,1,0.000050
0.011600,0.233000,0.197024,0.135803,6.754623,6.754623,0.287101,1,0.000050
0.011650,0.234000,0.197968,0.136285,6.885936,6.885936,0.292593,1,0.000050
0.011700,0.235000,0.198913,0.136766,7.010453,7.010453,0.297801,1,0.000050
0.011750,0.236000,0.199857,0.137248,7.128052,7.128052,0.302721,1,0.000050
0.011800,0.237000,0.200802,0.137730,7.238616,7.238616,0.307348,1,0.000050
0.011850,0.238000,0.201748,0.138212,7.342037,7.342037,0.311677,1,0.000050
0.011900,0.239000,0.202693,0.138694,7.438212,7.438212,0.315704,1,0.000050
0.011950,0.240000,0.203639,0.139176,7.527046,7.527046,0.319426,1,0.000050
0.012000,0.241000,0.204585,0.139658,7.608452,7.608452,0.322838,1,0.000050
0.012050,0.242000,0.205531,0.140140,7.682349,7.682349,0.325937,1,0.000050
0.012100,0.243000,0.206478,0.140623,7.748665,7.748665,0.328720,1,0.000050
0.012150,0.244000,0.207424,0.141105,7.807334,7.807334,0.331185,1,0.000050
0.012200,0.245000,0.208371,0.141587,7.858298,7.858298,0.333329,1,0.000050
0.012250,0.246000,0.209318,0.142070,7.901507,7.901507,0.335149,1,0.000050
0.012300,0.247000,0.210266,0.142553,7.936918,7.936918,0.336645,1,0.000050
0.012350,0.248000,0.211213,0.143035,7.964496,7.964496,0.337814,1,0.000050
0.012400,0.249000,0.212161,0.143518,7.984214,7.984214,0.338655,1,0.000050
0.012450,0.250000,0.213109,0.144001,7.996052,7.996052,0.339169,1,0.000050
0.012500,0.251000,0.214057,0.144484,8.000000,8.000000,0.339353,1,0.000050
0.012550,0.252000,0.215006,0.144967,7.996052,7.996052,0.339209,1,0.000050
0.012600,0.253000,0.215954,0.145450,7.984214,7.984214,0.338736,1,0.000050
0.012650,0.254000,0.216903,0.145933,7.964496,7.964496,0.337935,1,0.000050
0.012700,0.255000,0.217852,0.146416,7.936918,7.936918,0.336806,1,0.000050
0.012750,0.256000,0.218802,0.146899,7.901507,7.901507,0.335350,1,0.000050
0.012800,0.257000,0.219751,0.147383,7.858298,7.858298,0.333570,1,0.000050
0.012850,0.258000,0.220701,0.147866,7.807334,7.807334,0.331467,1,0.000050
0.012900,0.259000,0.221651,0.148349,7.748665,7.748665,0.329042,1,0.000050
0.012950,0.260000,0.222601,0.148833,7.682349,7.682349,0.326299,1,0.000050
0.013000,0.261000,0.223551,0.149317,7.608452,7.608452,0.323240,1,0.000050
0.013050,0.262000,0.224502,0.149800,7.527046,7.527046,0.319869,1,0.000050
0.013100,0.263000,0.225453,0.150284,7.438212,7.438212,0.316187,1,0.000050
0.013150,0.264000,0.226404,0.150768,7.342037,7.342037,0.312200,1,0.000050
0.013200,0.265000,0.227355,0.151252,7.238616,7.238616,0.307911,1,0.000050
0.013250,0.266000,0.228307,0.151736,7.128052,7.128052,0.303324,1,0.000050
0.013300,0.267000,0.229258,0.152220,7.010453,7.010453,0.298445,1,0.000050
0.013350,0.268000,0.230210,0.152704,6.885936,6.885936,0.293277,1,0.000050
0.013400,0.269000,0.231162,0.153188,6.754623,6.754623,0.287825,1,0.000050
0.013450,0.270000,0.232114,0.153672,6.616645,6.616645,0.282097,1,0.000050
0.013500,0.271000,0.233067,0.154157,6.472136,6.472136,0.276096,1,0.000050
