time_s,i_alpha,id,iq,duty,use_park
0.023000,-0.282522,1.013078,-0.064085,0.261081,1
0.023050,-0.312651,1.012520,-0.064256,0.257525,1
0.023100,-0.342469,1.011943,-0.064392,0.253716,1
0.023150,-0.371945,1.011349,-0.064490,0.249656,1
0.023200,-0.401051,1.010740,-0.064551,0.245351,1
0.023250,-0.429756,1.010120,-0.064572,0.240804,1
0.023300,-0.458034,1.009490,-0.064554,0.236020,1
0.023350,-0.485855,1.008853,-0.064496,0.231003,1
0.023400,-0.513191,1.008211,-0.064397,0.225759,1
0.023450,-0.540017,1.007568,-0.064257,0.220293,1
0.023500,-0.566305,1.006926,-0.064077,0.214609,1
0.023550,-0.592028,1.006287,-0.063855,0.208714,1
0.023600,-0.617162,1.005654,-0.063594,0.202614,1
0.023650,-0.641682,1.005030,-0.063292,0.196314,1
0.023700,-0.665562,1.004417,-0.062951,0.189821,1
0.023750,-0.688780,1.003818,-0.062571,0.183140,1
0.023800,-0.711312,1.003234,-0.062153,0.176280,1
0.023850,-0.733135,1.002670,-0.061699,0.169245,1
0.023900,-0.754229,1.002126,-0.061209,0.162045,1
0.023950,-0.774572,1.001605,-0.060685,0.154684,1
0.024000,-0.794145,1.001110,-0.060128,0.147171,1
0.024050,-0.812926,1.000642,-0.059541,0.139514,1
