time_s,reference_a,current_a,u_i,u1,duty,feedforward
0.073000,1.000000,-2.055657,6.621602,7.608452,0.275900,0
0.073200,1.000000,-2.003216,6.735201,7.238616,0.280633,0
0.073400,1.000000,-1.903473,6.750447,6.754623,0.281269,0
0.073600,1.000000,-1.758000,6.667100,6.164106,0.277796,0
0.073800,1.000000,-1.569090,6.486474,5.476377,0.270270,0
0.074000,1.000000,-1.339722,6.211418,4.702282,0.258809,0
0.074200,1.000000,-1.073512,5.846271,3.854029,0.243595,0
0.074400,1.000000,-0.774657,5.396791,2.944996,0.224866,0
0.074600,1.000000,-0.447869,4.870067,1.989519,0.202919,0
0.074800,1.000000,-0.098302,4.274406,1.002666,0.178100,0
0.075000,1.000000,0.268534,3.619203,-0.000000,0.150800,0
0.075200,1.000000,0.646853,2.914791,-1.002666,0.121450,0
0.075400,1.000000,1.030690,2.172279,-1.989519,0.090512,0
0.075600,1.000000,1.413993,1.403377,-2.944996,0.058474,0
0.075800,1.000000,1.790717,0.620212,-3.854029,0.025842,0
0.076000,1.000000,2.154923,-0.164866,-4.702282,-0.006869,0
0.076200,1.000000,2.500867,-0.939474,-5.476377,-0.039145,0
0.076400,1.000000,2.823095,-1.691397,-6.164106,-0.070475,0
0.076600,1.000000,3.116525,-2.408776,-6.754623,-0.100366,0
0.076800,1.000000,3.376530,-3.080297,-7.238616,-0.128346,0
0.077000,1.000000,3.599012,-3.695370,-7.608452,-0.153974,0
0.077200,1.000000,3.780462,-4.244294,-7.858298,-0.176846,0
0.077400,1.000000,3.918019,-4.718412,-7.984214,-0.196600,0
0.077600,1.000000,4.009515,-5.110247,-7.984214,-0.212927,0
0.077800,1.000000,4.053507,-5.413619,-7.858298,-0.225567,0
0.078000,1.000000,4.049302,-5.623744,-7.608452,-0.234323,0
0.078200,1.000000,3.996968,-5.737307,-7.238616,-0.239054,0
0.078400,1.000000,3.897330,-5.752517,-6.754623,-0.239688,0
0.078600,1.000000,3.751961,-5.669135,-6.164106,-0.236214,0
0.078800,1.000000,3.563153,-5.488474,-5.476377,-0.228686,0
0.079000,1.000000,3.333885,-5.213385,-4.702282,-0.217224,0
0.079200,1.000000,3.067774,-4.848204,-3.854029,-0.202009,0
0.079400,1.000000,2.769015,-4.398692,-2.944996,-0.183279,0
0.079600,1.000000,2.442323,-3.871936,-1.989519,-0.161331,0
0.079800,1.000000,2.092849,-3.276244,-1.002666,-0.136510,0
0.080000,1.000000,1.726105,-2.621010,-0.000000,-0.109209,0
0.080200,1.000000,1.347877,-1.916567,1.002666,-0.079857,0
0.080400,1.000000,0.964129,-1.174025,1.989519,-0.048918,0
0.080600,1.000000,0.580913,-0.405094,2.944996,-0.016879,0
0.080800,1.000000,0.204275,0.378101,3.854029,0.015754,0
0.081000,1.000000,-0.159847,1.163207,4.702282,0.048467,0
0.081200,1.000000,-0.505708,1.937843,5.476377,0.080743,0
0.081400,1.000000,-0.827854,2.689793,6.164106,0.112075,0
0.081600,1.000000,-1.121203,3.407199,6.754623,0.141967,0
